#     'r'     'g11(r)'     'g12(r)'     'g22(r)'
    4.7455      1.312197     1.314721      1.380823
    4.7551      1.293989     1.318216      1.367714
    4.7647      1.322863      1.31929      1.375525
    4.7743      1.325103     1.324496      1.351299
    4.7838      1.297901     1.341716      1.378395
    4.7934      1.299612     1.307272      1.397506
     4.803      1.318991     1.339217       1.39495
    4.8126      1.315657     1.335632      1.359276
    4.8222      1.321073     1.328993      1.396534
    4.8318      1.312848     1.315448      1.312645
    4.8414      1.304678     1.317241      1.366305
     4.851      1.276259     1.306208      1.339496
    4.8606      1.297424     1.311599       1.35488
    4.8702       1.31148     1.338591      1.368498
    4.8798      1.312663     1.342576      1.356937
    4.8894      1.283161     1.322691      1.310117
     4.899      1.305218     1.296275      1.444498
    4.9086      1.299317     1.294577       1.34557
    4.9182      1.300809     1.349161      1.410817
    4.9278       1.30196     1.307811      1.338939
    4.9374       1.30833     1.311603      1.390013
     4.947      1.313455     1.323483      1.337754
    4.9566      1.300579     1.325044      1.388103
    4.9662      1.315086     1.329401      1.416055
    4.9758      1.286346     1.331141      1.370528
    4.9854      1.294007     1.339073      1.351535
     4.995      1.335323      1.34709      1.383936
    5.0046       1.30055     1.314482      1.409579
    5.0142      1.294115     1.322896      1.369354
    5.0238       1.28703     1.333072      1.350615
    5.0334      1.301367     1.353526      1.377592
     5.043      1.286987     1.325981      1.324201
    5.0525      1.285437     1.321025      1.381719
    5.0621      1.333029     1.325289      1.412175
    5.0717      1.306783     1.342273      1.340547
    5.0813      1.292488     1.319708      1.332186
    5.0909      1.300605     1.322039      1.387576
    5.1005      1.321441     1.350617      1.377891
    5.1101      1.282632     1.327211      1.388451
    5.1197      1.308305     1.305592      1.357526
    5.1293      1.297312     1.305995      1.361878
    5.1389      1.294229     1.310554      1.303968
    5.1485      1.299333     1.334811      1.350866
    5.1581      1.310061      1.30902      1.366235
    5.1677      1.325553     1.331205       1.37858
    5.1773      1.294665     1.326995      1.370293
    5.1869      1.287291     1.307664       1.38136
    5.1965      1.315849     1.307772      1.393197
    5.2061      1.295087     1.309082      1.342311
    5.2157      1.291464     1.336779      1.322276
    5.2253      1.293454     1.304716      1.339849
    5.2349      1.307986     1.322908      1.370294
    5.2445      1.296241     1.341097      1.410371
    5.2541      1.305034     1.328579      1.367321
    5.2637      1.305585     1.333426      1.385838
    5.2733      1.286091     1.322397      1.406162
    5.2829      1.306789       1.3131      1.341905
    5.2925      1.282235     1.331022      1.345898
    5.3021      1.286749     1.318515      1.382111
    5.3117      1.300683     1.319162       1.36421
    5.3213      1.289028     1.333161      1.385844
    5.3308      1.291743     1.310156      1.329858
    5.3404      1.297549     1.312899       1.34166
      5.35      1.306279     1.306102      1.355806
    5.3596      1.301336     1.320116      1.373349
    5.3692      1.303398     1.317478      1.346399
    5.3788      1.294405     1.334204      1.412322
    5.3884      1.263018     1.309971      1.374997
     5.398      1.292187     1.326324      1.329682
    5.4076      1.279469     1.296859       1.34723
    5.4172      1.296757     1.313981      1.361477
    5.4268      1.307412     1.324287      1.359825
    5.4364      1.300641     1.325365      1.346898
     5.446      1.291757       1.3401      1.360971
    5.4556      1.317695     1.311969      1.368166
    5.4652      1.292543     1.323205      1.326258
    5.4748      1.304923      1.31361      1.375915
    5.4844      1.276631     1.315436      1.371362
     5.494      1.292874     1.300161      1.353223
    5.5036      1.280387     1.331649      1.364884
    5.5132      1.280324     1.302115      1.363962
    5.5228      1.311202     1.318928      1.328733
    5.5324      1.295408     1.328488      1.355274
     5.542       1.29905     1.310186      1.422252
    5.5516      1.314834     1.320947      1.334854
    5.5612      1.307173     1.319951      1.381376
    5.5708       1.29856     1.317522      1.334663
    5.5804      1.298073      1.30419      1.361437
      5.59      1.299933     1.310159      1.329482
    5.5995      1.305167      1.31571      1.325177
    5.6091      1.300274     1.326616      1.354395
    5.6187      1.276537     1.300254      1.338234
    5.6283      1.289284     1.296189      1.338568
    5.6379      1.296644     1.322275      1.352058
    5.6475      1.308918     1.331225      1.322438
    5.6571      1.293723     1.316275      1.380196
    5.6667      1.293019     1.319938      1.401109
    5.6763      1.284749     1.320812      1.405276
    5.6859      1.298544     1.307279      1.317348
    5.6955      1.305621     1.309961      1.385308
    5.7051      1.307353     1.330771      1.350172
    5.7147      1.294733     1.315958      1.332588
    5.7243      1.286972     1.319505       1.32907
    5.7339      1.301906     1.329833      1.390868
    5.7435      1.305182     1.311228      1.349806
    5.7531      1.298611     1.314033      1.334535
    5.7627      1.293299     1.302276      1.352499
    5.7723      1.307521     1.314002      1.373594
    5.7819      1.282644     1.326278      1.347476
    5.7915      1.301753     1.298974      1.365429
    5.8011      1.300036     1.316025      1.328902
    5.8107      1.296375     1.296527      1.375706
    5.8203      1.298499     1.311578      1.364081
    5.8299      1.293716     1.326523      1.344771
    5.8395      1.301039     1.322733      1.343991
    5.8491       1.30124      1.30818       1.34185
    5.8587      1.267733     1.328763      1.333393
    5.8683      1.303021     1.313207      1.337138
    5.8778      1.278167     1.318926      1.339057
    5.8874      1.297441     1.314184      1.362422
     5.897      1.301732     1.292198      1.370918
    5.9066      1.281316      1.32121      1.392682
    5.9162      1.282136     1.318361      1.357609
    5.9258      1.282284     1.321353      1.353216
    5.9354      1.291647     1.319112      1.367324
     5.945      1.290162     1.327149      1.323659
    5.9546      1.270951     1.330935      1.310216
    5.9642      1.289431     1.327415      1.378123
    5.9738      1.292988     1.322396       1.35893
    5.9834      1.298136     1.322472      1.304349
     5.993      1.300014     1.306789      1.371172
    6.0026      1.300155     1.348434      1.373675
    6.0122      1.284289     1.319026      1.392879
    6.0218      1.277905     1.311044       1.36365
    6.0314        1.3008     1.327842      1.393829
     6.041      1.296406     1.309446      1.367317
    6.0506       1.28696     1.317005       1.35388
    6.0602      1.294264     1.297169      1.321738
    6.0698        1.2991     1.313301      1.351011
    6.0794       1.29317     1.319764      1.328505
     6.089      1.274854     1.322847      1.353587
    6.0986      1.276618     1.305189      1.368711
    6.1082      1.282253     1.330487      1.334707
    6.1178      1.283763     1.314295      1.348954
    6.1274      1.298601     1.347468      1.371568
     6.137      1.296546     1.307113      1.353494
    6.1465      1.281749     1.305999      1.323012
    6.1561        1.2799     1.307229      1.355702
    6.1657      1.281566     1.305855      1.326205
    6.1753      1.275507     1.330762      1.342817
    6.1849      1.287379     1.296198      1.348379
    6.1945      1.300885     1.305369      1.356323
    6.2041      1.297768     1.298474      1.326961
    6.2137      1.269816     1.295067      1.333303
    6.2233      1.274992     1.299153      1.343003
    6.2329      1.298354     1.315533      1.322511
    6.2425      1.273418     1.302028      1.355044
    6.2521      1.280448     1.313792      1.374086
    6.2617       1.28368     1.330649      1.325006
    6.2713      1.295591     1.309298      1.308342
    6.2809      1.267413     1.320326      1.331852
    6.2905      1.295176      1.30742      1.339348
    6.3001      1.286701     1.316088      1.329217
    6.3097      1.290952     1.309906      1.362361
    6.3193      1.281076      1.30124       1.39452
    6.3289      1.302064     1.298791      1.334373
    6.3385      1.276989     1.316681      1.334966
    6.3481      1.265259     1.304749      1.338434
    6.3577      1.292595     1.338887      1.344175
    6.3673      1.300677     1.292752      1.320627
    6.3769      1.279546     1.314125      1.382221
    6.3865      1.296523     1.302794      1.342725
    6.3961       1.29968      1.30559      1.336236
    6.4057      1.270616     1.311516      1.339602
    6.4152      1.278803     1.293942      1.338987
    6.4248      1.288012     1.302756      1.356395
    6.4344      1.289499     1.306522      1.377999
     6.444      1.274389      1.31012      1.350567
    6.4536      1.285649     1.297047      1.407964
    6.4632      1.275444     1.302997      1.362225
    6.4728      1.293732     1.313101       1.34376
    6.4824      1.270434     1.312065      1.327795
     6.492      1.281596     1.293391      1.334539
    6.5016       1.27928     1.297752      1.335003
    6.5112      1.276607     1.298211      1.360321
    6.5208      1.299146     1.307743      1.333171
    6.5304      1.289116     1.292855      1.371237
      6.54      1.295375     1.305271      1.348189
    6.5496      1.286262     1.294741      1.333401
    6.5592      1.271665     1.308504      1.370936
    6.5688      1.287542     1.302715      1.294545
    6.5784      1.275162     1.304494      1.309218
     6.588      1.301265     1.287083      1.323801
    6.5976      1.286284     1.289906      1.339539
    6.6072      1.285696     1.310445      1.328904
    6.6168      1.293235     1.316482      1.331071
    6.6264      1.274162     1.294773      1.324041
     6.636      1.281022     1.308264      1.359464
    6.6456      1.273602     1.301165      1.351679
    6.6552      1.274604     1.304434      1.349709
    6.6648      1.274812     1.323807      1.335704
    6.6744      1.287214     1.312634      1.320905
     6.684      1.297029     1.286955       1.33377
    6.6935      1.285542     1.317012      1.337559
    6.7031      1.271102     1.292573      1.327523
    6.7127      1.280562      1.31142       1.35985
    6.7223      1.285769     1.308448      1.334703
    6.7319      1.274039     1.310088      1.338083
    6.7415      1.291992     1.322803      1.343656
    6.7511      1.264089     1.309429      1.321813
    6.7607      1.274976     1.315092      1.336207
    6.7703      1.269254     1.314273      1.328871
    6.7799      1.285525     1.302616      1.348549
    6.7895       1.28395     1.295795      1.307414
