#     'r'     'g11(r)'     'g12(r)'     'g22(r)'
    3.3348      1.770063     1.758532      1.559669
    3.3444      1.662912     1.685509      1.427982
     3.354      1.688437     1.660167      1.424908
    3.3636      1.689164     1.630553      1.551287
    3.3732      1.772165     1.578702      1.403711
    3.3828      1.780838     1.614095      1.437751
    3.3924      1.726861     1.629744      1.601621
     3.402      1.761048      1.68041        1.5145
    3.4116      1.679518     1.714807       1.59643
    3.4211      1.789647      1.76243      1.646137
    3.4307      1.708327      1.60704      1.461971
    3.4403       1.75333     1.665035      1.468326
    3.4499      1.712642     1.659856      1.633197
    3.4595      1.763751     1.691385      1.643268
    3.4691      1.753057     1.701461      1.539123
    3.4787      1.817957     1.776644      1.626131
    3.4883      1.803979     1.692862      1.468639
    3.4979      1.762824     1.747184      1.442826
    3.5075      1.837439     1.691763      1.529798
    3.5171      1.784954     1.772639      1.344805
    3.5267      1.699037     1.749025      1.440523
    3.5363      1.735721     1.720627      1.492183
    3.5459      1.824896     1.744878      1.604229
    3.5555       1.72155     1.743363      1.735862
    3.5651      1.801705     1.726589      1.721128
    3.5747      1.779755     1.689449       1.53104
    3.5843      1.734011     1.657119      1.611018
    3.5939      1.862266     1.694845      1.570537
    3.6035      1.740656     1.753878      1.578924
    3.6131       1.77976      1.75156      1.616998
    3.6227      1.699634     1.787468      1.782799
    3.6323      1.833285     1.708902       1.66586
    3.6419      1.814594     1.730639       1.54754
    3.6515      1.776587     1.757469       1.55143
    3.6611      1.764516     1.774425       1.75756
    3.6707      1.830744     1.718407      1.529304
    3.6803      1.744263     1.857611      1.664941
    3.6898      1.778613     1.747262        1.6252
    3.6994      1.821555     1.753829      1.637679
     3.709      1.826047     1.806923      1.720697
    3.7186      1.766459     1.837391      1.624954
    3.7282      1.883095      1.76417      1.726897
    3.7378      1.781882     1.757367      1.617317
    3.7474      1.861822     1.865288      1.801315
     3.757       1.78921     1.822654      1.748355
    3.7666      1.830821     1.866418      1.800746
    3.7762      1.786687     1.815967      1.737849
    3.7858      1.880438     1.853905      1.725058
    3.7954      1.832289     1.886095      1.686165
     3.805      1.877293     1.831312      1.715602
    3.8146      1.905534     1.869514      1.745508
    3.8242      1.869235     1.893861      1.746928
    3.8338      1.881258     1.861702      1.696938
    3.8434      1.911887     1.866117      1.782192
     3.853      1.899683     1.958785      1.746352
    3.8626      1.905565     1.916586      1.905626
    3.8722      1.890228     1.931811      1.684826
    3.8818      1.902685     1.944214      1.815455
    3.8914       1.99306     1.999764      1.791401
     3.901      1.971445      1.92438      1.861541
    3.9106      1.928547     1.900968      1.776105
    3.9202      1.964823     2.018167      1.819534
    3.9298      1.914932     1.950921      1.787691
    3.9394      2.016561     1.985509      2.009752
     3.949      2.029293     2.009502      1.961845
    3.9585      1.856568     1.971213      1.842097
    3.9681      1.910158     2.011652       1.94364
    3.9777      1.918277     1.997994      1.938612
    3.9873       1.99454     1.989284      1.809115
    3.9969      1.932427     2.036302      2.048232
    4.0065      1.915177     1.986252      2.054824
    4.0161       1.99207     2.018123      1.808807
    4.0257      1.946818     2.000774      2.080459
    4.0353      1.860944     2.040106      1.754404
