  -81666372983891.328       -44318959518681.125       -5546227649705.0049        645411925960.32739     
  -34.941298288170763        49.401594583236822       -88.797936808731492       -12.834806210172628        91.609308001044170       -38.706881679801398        21.971889411221404     
  -32.509040549900007        46.004557136429398       -82.784316683103285       -11.858042290886857        85.380585360586409       -36.121672756720095        20.525199915423190     
  -30.265327526703640        42.867822567836129       -77.224761793581507       -10.963007581147926        79.624018061748373       -33.729000708400122        19.184728407124283     
  -28.194135227611493        39.969475302079985       -72.081544102313103       -10.142303643147994        74.300235155885645       -31.513076192490050        17.941885558983842     
  -26.280898945455935        37.289592494793368       -67.320339892998021       -9.3892343967170007        69.373425523043437       -29.459519735964879        16.788839240887491     
  -24.512378639354413        34.810055282970552       -62.909903063612290       -8.6977423347307159        64.810997487725970       -27.555226416343434        15.718442532253199     
  -22.876534598173507        32.514376412444307       -58.821770179699406       -8.0623482662095540        60.583270461497101       -25.788244287777502        14.724168849835724     
  -21.362413267962481        30.387544197840452       -55.029994338912729       -7.4780951983150619        56.663196612562260       -24.147664890670519        13.800053767427594     
  -19.960043683995291        28.415881273666670       -51.510905640176361       -6.9404968495506205        53.026109943320400       -22.623524943605432        12.940642601626736     
  -18.660343498334395        26.586917253269892       -48.242895741715060       -6.4454908670518165        49.649500502131744       -21.206717746876706        12.140943305148120     
  -17.455034114490935        24.889274167566708       -45.206223931586109       -5.9893966201927036        46.512810976983083       -19.888913575586805        11.396384044246389     
  -16.336564320258415        23.312563231857304       -42.382842609718502       -5.5688769985804942        43.597253774081317       -18.662488070478872        10.702774840907805     
  -15.298041423363227        21.847291949793110       -39.756240364643951       -5.1809042135465315        40.885646499038707       -17.520457458717399        10.056273148833480     
  -14.333169249718093        20.484780625571201       -37.311300540499062       -4.8227293080813203        38.362263451695057       -16.456420443186776        9.4533526274615127     
  -13.436192441705803        19.217087140439322       -35.034173594366905       -4.4918544362635142        36.012702168879720       -15.464505562442849        8.8907749961520821     
  -12.601846282247944        18.036939009817029       -32.912162361426120       -4.1860083926106455        33.823762873465697       -14.539323769112530        8.3655645552030151     
  -11.825311331401618        16.937672479857920       -30.933618143959400       -3.9031244623923493        31.783339847666920       -13.675925480235547        7.8749851544232445     
  -11.102172845793721        15.913177274782692       -29.087847072414771       -3.6413207142099635        29.880323208323723       -12.869761817623862        7.4165193324872449     
