   1.7824920379203350E+017  -37591612526780536.       -42982371403892544.        1496498237859726.2     
  -37591612526780456.        72899905437907664.       -1180354552040762.5       -12879091452855086.        1041639703933211.4     
  -42982371403892552.       -1180354552040741.0        21948844199663420.       -1057918143697321.6       -3858912667733229.5        311935599797205.75     
   22077.174954056180       -124218.09950875114       -38367.558478506820        230527.96440930167       -36336.072298800034       -111407.36096576761        18751.879538561181     
   20900.155427932797       -117616.70123407786       -36336.072298799510        218358.64326921705       -34424.790499151692       -105564.37755478913        17771.731726834001     
   19793.260757688357       -111407.36096576764       -34424.790499150862        206907.26211897167       -32625.862418109853       -100063.89105200388        16848.842898103921     
   18751.879538560785       -105564.37755478974       -32625.862418110191        196127.06761895429       -30931.997661177196       -94883.739749267799        15979.520503644737     
   17771.731726833950       -100063.89105200439       -30931.997661177076        185974.63369181234       -29336.422822438333       -90003.329127714911        15160.332262152466     
   16848.842898104012       -94883.739749267508       -29336.422822437926        176409.60494431711       -27832.841730947635       -85403.511763606264        14388.086251357419     
   15979.520503643409       -90003.329127715508       -27832.841730946686        167394.46132384377       -26415.399020214834       -81066.477108808773        13659.812682641936     
   15160.332262152733       -85403.511763605900       -26415.399020215034        158894.30215092935       -25078.646645076420       -76975.650309982026        12972.747118122959     
   14388.086251357139       -81066.477108808962       -25078.646645076464        150876.64792078643       -23817.513204442450       -73115.599246156227        12324.315092226236     
   13659.812682641927       -76975.650309981604       -23817.513204442756        143311.25821834113       -22627.275695869972       -69471.949159221796        11712.117972083559     
   12972.747118123007       -73115.599246156169       -22627.275695870165        136169.96438761055       -21503.533559270178       -66031.304098780063        11133.919901729665     
   12324.315092226287       -69471.949159221549       -21503.533559270338        129426.51563496425       -20442.184830485792       -62781.174632058348        10587.635855623164     
   11712.117972083788       -66031.304098780180       -20442.184830486218        123056.43747512724       -19439.404163974454       -59709.911370509559        10071.320605536801     
   11133.919901729683       -62781.174632058370       -19439.404163974330        117036.90142174011       -18491.622618807702       -56806.643709441181        9583.1585417667666     
   10587.635855623732       -59709.911370509610       -18491.622618807422        111346.60495682644       -17595.509008262885       -54061.223338104777        9121.4543153722007     
   10071.320605536732       -56806.643709441560       -17595.509008262721        105965.66091690700       -16747.952746512572       -51464.172239322230        8684.6242151716615     
   9583.1585417670576       -54061.223338104959       -16747.952746512819        100875.49555068891       -15946.047993651791       -49006.634670143772        8271.1881726464326     
   9121.4543153722334       -51464.172239322310       -15946.047993652166        96058.754437483454       -15187.079039312259       -46680.332845291101        7879.7624109406788     
   8684.6242151714923       -49006.634670144107       -15187.079039312379        91499.215688374505       -14468.506822528225       -44477.526040959361        7509.0526685236746     
   8271.1881726468182       -46680.332845291166       -14468.506822528881        87181.709807698033       -13787.956478784032       -42390.972811209416        7157.8479111128609     
   7879.7624109405942       -44477.526040959128       -13787.956478784719        83092.045657497991       -13143.205799752430       -40413.896067968002        6825.0145093492656     
   7509.0526685240893       -42390.972811209373       -13143.205799752688        79216.941988787323       -12532.174601630437       -38539.950755420126        6509.4908955981964     
   7157.8479111130027       -40413.896067968046       -12532.174601630421        75543.964208028949       -11952.914906104257       -36763.194012924891        6210.2825959543479     
   6825.0145093489728       -38539.950755420337       -11952.914906104259        72061.465832300804       -11403.601783657077       -35078.057516398992        5926.4576091944400     
   6509.4908955980291       -36763.194012924789       -11403.601783657232        68758.534289951422       -10882.524949907780       -33479.321852995068        5657.1421666590977     
   6210.2825959543743       -35078.057516399174       -10882.524949907811        65624.940776206626       -10388.080957002323       -31962.092830782960        5401.5167913144751     
   5926.4576091946519       -33479.321852995185       -10388.080957002456        62651.093781929005       -9918.7659402656827       -30521.779492422625        5158.8126211789795     
   5657.1421666589777       -31962.092830783051       -9918.7659402656172        59827.996010611998       -9473.1689154364649       -29154.073724612001        4928.3080274313998     
   5401.5167913146843       -30521.779492422673       -9473.1689154365049        57147.204453242150       -9049.9655560748888       -27854.931366476427        4709.3254708970344     
   5158.8126211790031       -29154.073724612113       -9049.9655560750289        54600.793341903431       -8647.9124214374569       -26620.554656044722        4501.2285634863447     
   4928.3080274312069       -27854.931366476249       -8647.9124214375370        52181.319774827003       -8265.8415941605072       -25447.375944848249        4303.4193784839499     
   4709.3254708970626       -26620.554656044922       -8265.8415941606581        49881.791807311492       -7902.6557099338552       -24332.042581023328        4115.3359148555401     
   4501.2285634863565       -25447.375944848354       -7902.6557099338734        47695.638796896368       -7557.3233233689598       -23271.402841755302        3936.4497559070983     
   4303.4193784841009       -24332.042581023463       -7557.3233233688752        45616.683874418661       -7228.8746218016895       -22262.492869012087        3766.2638954993836     
   4115.3359148555046       -23271.402841755378       -7228.8746218015694        43639.118330775687       -6916.3974244359215       -21302.524526967700        3604.3107132965824     
   3936.4497559071033       -22262.492869012036       -6916.3974244358915        41757.477813656966       -6619.0334661821244       -20388.874090409743        3450.1500814835222     
   3766.2638954993809       -21302.524526967736       -6619.0334661822262        39966.620172997900       -6335.9749438675190       -19519.071724745583        3303.3676235686671     
   3604.3107132964378       -20388.874090409583       -6335.9749438674962        38261.704852652787       -6066.4612927742046       -18690.791700417187        3163.5730659878918     
   3450.1500814838096       -19519.071724745678       -6066.4612927743501        36638.173687669230       -5809.7761906246433       -17901.843256394510        3030.3987278807822     
   3303.3676235686098       -18690.791700417096       -5809.7761906245205        35091.733036909121       -5565.2447674460682       -17150.162113681836        2903.4980965604577     
   3163.5730659879728       -17901.843256394630       -5565.2447674458263        33618.337118665018       -5332.2309972322810       -16433.802541898494        2782.5445021539476     
   3030.3987278807422       -17150.162113681821       -5332.2309972321445        32214.172483352635       -5110.1352757277427       -15750.929971368285        2667.2298910331383     
   2903.4980965603395       -16433.802541898538       -5110.1352757277937        30875.643538321627       -4898.3921562990245       -15099.814105682857        2557.2636714869532     
   2782.5445021538972       -15750.929971368267       -4898.3921562990945        29599.359038557854       -4696.4682393995918       -14478.822488056250        2452.3716386400342     
   2667.2298910331933       -15099.814105682777       -4696.4682393996500        28382.119484345418       -4503.8601967777186       -13886.414493692624        2352.2949706436702     
   2557.2636714870127       -14478.822488056310       -4503.8601967777213        27220.905351485711       -4320.0929364967033       -13321.135725821445        2256.7892960864938     
   2452.3716386399915       -13886.414493692555       -4320.0929364966896        26112.866106997677       -4144.7178831266128       -12781.612779144583        2165.6238162719101     
   2352.2949706437189       -13321.135725821558       -4144.7178831265519        25055.309945467750       -3977.3113678775958       -12266.548341954725        2078.5804829680028     
   2256.7892960864701       -12781.612779144587       -3977.3113678775439        24045.694189164613       -3817.4731298025495       -11774.716618807683        1995.4532404474223     
   2165.6238162718182       -12266.548341954685       -3817.4731298024603        23081.616326709645       -3664.8249158491685       -11304.959054553097        1916.0473065984843     
