   241294236696100.19       -406197617978216.50        253130513241361.78       -103223919785357.47     
   211875.38960711195       -331327.17160171160        428740.97920317721       -459159.31266762398        402242.20385063341       -291592.79374633735        174838.25529765652     
   198634.82723664431       -310745.45351455378        402242.20384733652       -430904.99329424457        377581.69941436622       -273764.39719063317        164156.44041951140     
   186310.63029427783       -291592.79373666079        377581.69940647291       -404605.93717891880        354622.57811266958       -257162.26187213912        154207.52566610128     
   174838.25528554595       -273764.39717864263        354622.57810706459       -380115.82210075401        333237.62727586005       -241695.17685053940        144937.58362207547     
   164156.44040611666       -257162.26186459078        333237.62727392546       -357299.03336563101        313309.01048601809       -227278.55351938843        136296.41630021908     
   154207.52565488598       -241695.17684557117        313309.01048386528       -336030.20185102808        294727.83395691495       -213834.14831636799        128237.46078290165     
   144937.58361117271       -227278.55351161651        294727.83395172207       -316193.63971137395        277393.63426552509       -201289.71994897432        120717.63567973825     
   136296.41628870007       -213834.14830742043        277393.63426151650       -297682.72318710852        261213.82773512372       -189578.65213312506        113697.15203074344     
   128237.46077112034       -201289.71994201429        261213.82773220298       -280399.25745505991        246103.14956506455       -178639.56375367328        107139.30566860043     
   120717.63567048789       -189578.65212719727        246103.14956138268       -264252.84717995091        231983.10166025491       -168415.92139723117        101010.26307500021     
   113697.15202527374       -178639.56374892330        231983.10165799924       -249160.28816970560        218781.42135105710       -158855.66413880730        95278.848894079856     
   107139.30566685718       -168415.92139708277        218781.42135285179       -235044.98956183065        206431.57840658847       -149910.84664441683        89916.340358075206     
   101010.26307545567       -158855.66414220116        206431.57840950557       -221836.43187417937        194872.30430571386       -141537.30396009120        84896.271878378961     
   95278.848894492359       -149910.84664554000        194872.30430477249       -209469.66319697205        184047.15526030117       -133694.33954603618        80194.251735973259     
   89916.340354876535       -141537.30395558942        184047.15525718976       -197884.83374577662        173904.10898657847       -126344.43693781729        75787.791544767053     
   84896.271870001525       -133694.33953998861        173904.10898424059       -187026.76790266996        164395.19427056800       -119452.99439662645        71656.148643555076     
   80194.251725538488       -126344.43693117115        164395.19426639701       -176844.57203541795        155476.15157561068       -112988.08155334558        67780.181114981693     
   75787.791535126817       -119452.99438891014        155476.15157154651       -167291.27579332780        147106.12275012277       -106920.21676626733        64142.214824659859     
   71656.148635074642       -112988.08154793721        147106.12274833120       -158323.50454619693        139247.36772243946       -101222.16367819588        60725.921749796413     
   67780.181110016623       -106920.21676431751        139247.36772203227       -149901.18054170912        131865.00600129418       -95868.745512653637        57516.208800548688     
   64142.214823570357       -101222.16367867458        131865.00600235388       -141987.25033679893        124926.78091273591       -90836.675647590426        54499.116284134398     
   60725.921750338610       -95868.745514449038        124926.78091408573       -134547.43625396074        118402.84459017747       -86104.403018909506        51661.725234933350     
   57516.208801911402       -90836.675648926335        118402.84459049157       -127550.00972284627        112265.56183313680       -81651.971079689203        48992.072832753467     
   54499.116286577104       -86104.403020566839        112265.56183445490       -120965.58448400773        106489.33114610345       -77460.889081209112        46479.075210310592     
   51661.725239034298       -81651.971083978293        106489.33114942763       -114766.92786993955        101050.42137736407       -73514.014551660322        44112.456945335580     
   48992.072838748674       -77460.889087229822        101050.42138086873       -108928.78850426509        95926.822532976890       -69795.445935520562        41882.686660130996     
   46479.075216679601       -73514.014556493858        95926.822534863575       -103427.73890083800        91098.109443626410       -66290.424478404879        39780.918156801112     
   44112.456951395310       -69795.445938951889        91098.109444999704       -98242.031570182211        86545.317111711265       -62985.244496918480        37798.936611495570     
   41882.686666093025       -66290.424482520204        86545.317114560734       -93351.467412022714        82250.826668887923       -59867.171294355467        35929.109316122391     
   39780.918163206486       -62985.244502866983        82250.826672646406       -88737.275273144856        78198.260991708739       -56924.365979002170        34164.340598923256     
   37798.936617661588       -59867.171299498848        78198.260993990552       -84382.001664760508        74372.389067898068       -54145.816609424037        32498.030511033674     
   35929.109319583957       -56924.365980834125        74372.389068191944       -80269.409687111387        70759.038359179671       -51521.275060366861        30924.036978468786     
   34164.340597891787       -54145.816607488014        70759.038357230631       -76384.386373974266        67345.014411315002       -49041.199126253552        29436.641065003871     
   32498.030506396102       -51521.275055636615        67345.014408283503       -72712.857663831121        64118.027090379197       -46696.699361277490        28030.515103784841     
   30924.036972281931       -49041.199120891040        64118.027087392955       -69241.710359463614        61066.622834778573       -44479.490274666365        26700.693429503288     
   29436.641059947484       -46696.699357743753        61066.622833699308       -65958.720418734956        58180.122419672414       -42381.845475613438        25442.545488398813     
   28030.515101186291       -44479.490274018652        58180.122419942054       -62852.487070384741        55448.563738752448       -40396.556435088351        24251.751099571185     
   26700.693429750463       -42381.845476598872        55448.563739352729       -59912.372209112938        52862.649168790515       -38516.894530964310        23124.277715679054     
   25442.545489892411       -40396.556436330829        52862.649169550874       -57128.444632381521        50413.697117116513       -36736.576130705515        22056.359475530204     
   24251.751100743884       -38516.894531892292        50413.697117411633       -54491.428686117244        48093.597408619127       -35049.730407710056        21044.477916656098     
   23124.277716396035       -36736.576130768219        48093.597408273839       -51992.656972380966        45894.770165981186       -33450.869693371467        20085.344205543141     
   22056.359475292171       -35049.730407128474        45894.770165810500       -49624.026737515283        43810.127904034111       -31934.862140149373        19175.882746481348     
   21044.477915484109       -33450.869692594490        43810.127903426037       -47377.959662274421        41833.040562212875       -30496.906489707042        18313.216056858564     
   20085.344203842473       -31934.862138504319        41833.040561086214       -45247.364756873329        39957.303225655232       -29132.508786552247        17494.650811675729     
   19175.882743943559       -30496.906487435426        39957.303224323397       -43225.604093625610        38177.106316339574       -27837.460871461517        16717.664953994667     
   18313.216054220582       -29132.508784473845        38177.106315313620       -41306.461157968944        36487.008054039266       -26607.820506574128        15979.895779098739     
   17494.650809632276       -27837.460870117415        36487.008053511905       -39484.111598326817        34881.908995910475       -25439.892996660819        15279.128925035970     
   16717.664952846113       -26607.820506005424        34881.908995776947       -37753.096174731319        33357.028485464522       -24330.214193194352        14613.288183490144     
   15979.895778372838       -25439.892996417264        33357.028485448318       -36108.295731191909        31907.882862734172       -23275.534760833401        13980.426070083366     
   15279.128923924054       -24330.214192372394        31907.882861956918       -34544.908030482227        30530.265286097685       -22272.805606488448        13378.715093021914     
   14613.288181716940       -23275.534758958729        30530.265284844667       -33058.426300324056        29220.227043192925       -21319.164385057571        12806.439668543018     
   13980.426067681878       -22272.805604422807        29220.227042187897       -31644.619351794950        27974.060228817481       -20411.922990504401        12261.988619922786     
   13378.715090684198       -21319.164383518106        27974.060228131264       -30299.513149233462        26788.281684020232       -19548.555949660622        11743.848228014245     
   12806.439667055132       -20411.922989585484        26788.281683605164       -29019.373719406871        25659.618094850903       -18726.689663703706        11250.595782301274     
   12261.988619355267       -19548.555949489750        25659.618095040110       -27800.691288561273        24584.992168570097       -17944.092418257536        10780.893594461915     
   11743.848228024430       -18726.689664090616        24584.992168830839       -26640.165562901133        23561.509793757108       -17198.665103979853        10333.483435668108     
   11250.595782727776       -17944.092418572858        23561.509793825982       -25534.692052707196        22586.448112064067       -16488.432595482431        9907.1813749835255     
   10780.893595029562       -17198.665104303724        22586.448112286638       -24481.349364456648        21657.244432644897       -15811.535743522862        9500.8729806470965     
   10333.483436228678       -16488.432596030339        21657.244433042244       -23477.387387824921        20771.485928580620       -15166.223925425425        9113.5088517667718     
   9907.1813754954055       -15811.535743949444        20771.485928635651       -22520.216314307763        19926.900050074732       -14550.848109945156        8744.1004681570485     
   9500.8729810788354       -15166.223925488594        19926.900050051503       -21607.396415204610        19121.345600095261       -13963.854411322802        8391.7163263579223     
   9113.5088519575675       -14550.848110104220        19121.345600323795       -20736.628523682466        18352.804431085711       -13403.778082502315        8055.4783390001303     
   8744.1004683690553       -13963.854411647464        18352.804431213859       -19905.745179813668        17619.373708693809       -12869.237918394056        7734.5584821419898     
   8391.7163268943168       -13403.778082823526        17619.373708838331       -19112.702375755918        16919.258702306695       -12358.931043186745        7428.1756733689572     
   8055.4783397457923       -12869.237918991377        16919.258702771203       -18355.571861641260        16250.766065849479       -11871.628051338379        7135.5928591120801     
   7734.5584830978569       -12358.931044121431        16250.766066411166       -17632.533973068636        15612.297572102829       -11406.168472668749        6856.1142971481331     
   7428.1756743705237       -11871.628052137701        15612.297572469553       -16941.870943000366        15002.344266797667       -10961.456542873630        6589.0830249707524     
   7135.5928597109278       -11406.168472995510        15002.344266851789       -16281.960657581605        14419.481011990880       -10536.457257404778        6333.8784903089600     
   6856.1142972289099       -10961.456542733788        14419.481011792865       -15651.270827988499        13862.361393237072       -10130.192681133907        6089.9143451220370     
   6589.0830246989563       -10536.457257021366        13862.361393002770       -15048.353549632006        13329.712959019327       -9741.7385076949631        5856.6363820514043     
   6333.8784900454893       -10130.192680955895        13329.712959022001       -14471.840213640593        12820.332775981664       -9370.2208403807708        5633.5206048721111     
   6089.9143450402662       -9741.7385077542749        12820.332776038944       -13920.436757562986        12333.083273009499       -9014.8131823060430        5420.0714263325326     
   5856.6363821617415       -9370.2208404781813        12333.083273047858       -13392.919222094959        11866.888354091385       -8674.7336238152220        5215.8199827186554     
   5633.5206049874068       -9014.8131823710119        11866.888354121578       -12888.129593950436        11420.729763106641       -8349.2422100956228        5020.3225551358510     
   5420.0714263773234       -8674.7336237932523        11420.729763016001       -12404.971918306848        10993.643681742062       -8037.6384758760478        4833.1590946248743     
