#     'r'     'g11(r)'     'g12(r)'     'g22(r)'
    4.2848     0.1161651    0.5593865    0.06150583
    4.2944     0.1169671    0.5913535     0.1587477
     4.304     0.1044259    0.5812198     0.3085554
    4.3136     0.1073274    0.5749035      0.525959
    4.3232    0.09363466    0.5589743      1.308321
    4.3328     0.1041547    0.6527046      2.636253
    4.3424     0.1077541     0.771941       4.63041
     4.352       0.11426     1.038657       7.33421
    4.3616     0.1146722     1.460216      9.548845
    4.3712      0.138569     1.910605      10.80934
    4.3808     0.1526472     2.124663      10.42497
    4.3904     0.1666011     2.172685      9.085541
       4.4     0.1996612     2.199098      7.566138
    4.4096     0.2216963     1.802643      5.195191
    4.4192     0.2323146     1.536412      3.391564
    4.4288     0.2261648     1.246616      1.703722
    4.4384     0.2555661     1.142497     0.7770573
     4.448     0.2748639     1.015916     0.6687148
    4.4576      0.307301    0.9977372     0.4251825
    4.4672     0.3795573     1.138087     0.1495026
    4.4768     0.5572627     1.424358     0.1154726
    4.4864     0.9692272      1.85968     0.1717761
     4.496      1.362354     2.177872     0.2358746
    4.5055      1.749727     2.303255     0.2801968
    4.5151      2.057853     2.299778      0.309096
    4.5247      2.236237     2.025218     0.3540904
    4.5343      1.844172     1.408854     0.3953112
    4.5439      1.277453     1.055715     0.4253778
    4.5535     0.8488882    0.7227898     0.4578771
    4.5631     0.5986928    0.5926493      0.529602
    4.5727     0.3936835    0.5175774     0.5833866
    4.5823     0.2916246     0.467278     0.6606182
    4.5919     0.1803493      0.52479     0.6228181
    4.6015     0.1390117    0.7435533     0.6524852
    4.6111     0.1246885    0.9369707     0.7468118
    4.6207     0.1109718     1.397184     0.7443659
    4.6303     0.1023984     1.821827     0.7360817
    4.6399     0.1459328     2.072747     0.7738364
    4.6495     0.1826697     2.107578     0.7822534
    4.6591     0.2481137     1.861942     0.7327931
    4.6687     0.3717595     1.512979     0.7758349
    4.6783     0.5886576      1.16083     0.8032303
    4.6879     0.8485822    0.7075573     0.7910638
    4.6975     0.9837118    0.5696221     0.7954164
    4.7071      1.049112    0.4375074     0.7418396
    4.7167      1.291475    0.3868636     0.6999715
    4.7263      1.487162    0.4089281     0.6784085
    4.7359      1.692888    0.4343724     0.6464475
    4.7455      1.865266    0.4542096     0.6326923
    4.7551      1.877903    0.4585225     0.6504881
    4.7647      1.668047    0.4404603     0.6104106
    4.7743      1.339885     0.432444     0.6042894
    4.7838     0.9042716    0.4301037     0.5781095
    4.7934     0.6285503    0.4315576     0.5224039
     4.803     0.4678341    0.4141771     0.5698726
    4.8126     0.3067412    0.4215243     0.7102551
    4.8222     0.2157503    0.4025226      1.424454
    4.8318     0.2178747    0.3891728      2.058337
    4.8414     0.2628782    0.3818526       2.78711
     4.851     0.3847009    0.3527437      3.928949
    4.8606     0.6780078    0.3282717      3.856802
    4.8702      1.169521     0.300329      4.424091
    4.8798      2.029597    0.2709988       5.57176
    4.8894      2.973733    0.2577323      6.993225
     4.899      3.983092    0.2491984        8.2978
    4.9086      5.064828    0.2456303      9.668507
    4.9182       5.09787    0.2860258      9.450415
    4.9278      4.562379    0.3371183      7.875035
    4.9374      3.737289    0.5322795      6.535995
     4.947      3.068548    0.7633924      4.691163
    4.9566      2.704049    0.9932787      2.521783
    4.9662      2.456892     1.355873      1.406384
    4.9758      2.190399     1.493877     0.8125368
    4.9854      1.975074     1.547663     0.7460274
     4.995       1.65666     1.507476     0.4386341
    5.0046      1.344421     1.290916     0.2616155
    5.0142       1.22622    0.7934974     0.2827951
    5.0238      1.018065    0.5580346     0.2485727
    5.0334      0.738564    0.5002493     0.2773408
     5.043     0.5662501    0.3961922     0.3579662
    5.0525     0.5143556    0.4327834     0.4035728
    5.0621     0.4636647    0.5586846     0.4330543
    5.0717      0.413083    0.9665078     0.4493024
    5.0813     0.4593602     1.337217     0.5172587
    5.0909     0.6156325     1.618021     0.5486604
